Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
1726,國立臺南大學,數位學習科技學系(社會組),國x1.50 英x1.75 數乙x2.00,8,333.65,---,---,---,---,---,---
1727,國立臺南大學,數位學習科技學系(自然組),國x1.50 英x1.75 數甲x2.00,8,279.85,---,---,---,---,---,---
1730,國立臺南大學,資訊工程學系,英x2.00 數甲x2.00 物x1.50,21,285.90,---,---,---,---,---,---
1731,國立臺南大學,電機工程學系,國x1.00 英x1.00 數甲x1.25 物x1.25 化x1.00,19,290.65,---,---,---,---,---,---
1732,國立臺南大學,材料科學系,國x1.00 英x1.00 數甲x1.00 物x1.50 化x1.50,16,307.55,---,---,---,---,---,---
1733,國立臺南大學,綠色能源科技學系,英x1.00 數甲x1.50 物x1.50,16,158.65,---,---,---,---,---,---
1734,國立臺南大學,生物科技學系,國x1.50 英x1.00 數甲x1.00 化x1.50 生x2.00,19,322.75,---,---,---,---,---,---
1735,國立臺南大學,生態暨環境資源學系,國x1.00 英x1.00 數乙x1.00,17,162.85,---,168.36,---,---,---,---
1736,國立臺南大學,行政管理學系,國x1.50 英x1.50 數乙x1.00 歷x1.00 公x1.00,22,388.53,---,390.04,---,---,---,---
1737,國立臺南大學,經營與管理學系,國x1.00 英x2.00 數乙x1.50,22,275.70,---,---,---,---,---,---
1740,國立東華大學,應用數學系數學科學組,國x1.00 英x1.00 數甲x1.50,16,123.05,---,---,---,---,---,---
1741,國立東華大學,應用數學系統計科學組(自然組),國x1.00 英x1.00 數甲x1.50,7,139.80,---,---,---,---,---,---
1742,國立東華大學,應用數學系統計科學組(社會組),國x1.00 英x1.00 數乙x1.50,6,193.45,---,---,---,---,---,---
1743,國立東華大學,資訊工程學系資工組,國x1.00 英x1.25 數甲x1.50,15,205.54,---,237.66,---,---,---,---
1744,國立東華大學,資訊工程學系國際組,國x1.00 英x1.50 數甲x1.25,6,208.50,---,---,---,---,---,---
1745,國立東華大學,生命科學系,國x1.00 英x1.75 數甲x1.00 化x1.50 生x1.75,24,263.63,---,---,---,---,---,---
1746,國立東華大學,物理學系物理組,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,12,182.90,---,---,---,---,---,---
1747,國立東華大學,物理學系奈米與光電科學組,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,8,198.00,---,---,---,---,---,---
1750,國立東華大學,化學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x2.00,23,206.75,---,---,---,---,---,---
1751,國立東華大學,電機工程學系,國x1.00 英x1.25 數甲x1.50 物x1.25,29,227.38,---,---,---,---,---,---
1752,國立東華大學,材料科學與工程學系,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,25,195.15,---,---,---,---,---,---
1753,國立東華大學,光電工程學系,國x1.00 英x1.00 數甲x1.00 物x1.50 化x1.00,29,183.30,---,---,---,---,---,---
1754,國立東華大學,自然資源與環境學系,國x2.00 英x1.00 數乙x2.00,15,267.80,---,---,---,---,---,---
1755,國立東華大學,企業管理學系,國x1.00 英x1.50 數乙x1.50,27,210.83,---,---,---,---,---,---
1756,國立東華大學,國際企業學系,國x1.00 英x2.00 數乙x1.75,20,263.90,---,---,---,---,---,---
1757,國立東華大學,會計學系,國x1.00 英x2.00 數乙x1.50,22,273.50,---,---,---,---,---,---
1760,國立東華大學,財務金融學系,國x1.00 英x1.50 數乙x2.00,22,288.20,---,---,---,---,---,---
1761,國立東華大學,資訊管理學系,國x1.00 英x1.50 數乙x2.00,18,268.58,---,---,---,---,---,---
1762,國立東華大學,觀光暨休閒遊憩學系,國x1.50 英x2.00 地x1.50,16,247.50,---,---,---,---,---,---
1763,國立東華大學,"管理學院管理科學與財金國際學士學位學程",國x1.00 英x2.00 數乙x1.50,5,251.50,---,---,---,---,---,---
1764,國立東華大學,華文文學系,國x2.00 英x1.00 歷x2.00,23,311.35,---,---,---,---,---,---
1765,國立東華大學,中國語文學系,國x2.00 英x1.25 歷x1.50 地x1.00,29,333.94,---,378.78,---,---,---,---
"系組代碼",校名,系組名,採計及加權,"錄取人數(含外加)","普通生錄取分數","普通生同分參酌","原住民錄取分數","退伍軍人錄取分數","僑生錄取分數","蒙藏生錄取分數","派外子女錄取分數"
1767,國立東華大學,經濟學系,國x1.00 英x1.00 數乙x1.00,30,169.55,---,174.08,---,---,---,---
1770,國立東華大學,社會學系,國x1.50 英x2.00 公x2.00,14,323.00,---,---,---,---,---,---
1771,國立東華大學,歷史學系,國x1.50 英x1.50 歷x2.00 地x1.00,17,408.00,---,442.54,---,---,---,---
1772,國立東華大學,臺灣文化學系,國x1.00 英x2.00 歷x2.00 地x2.00,22,378.00,---,---,---,---,---,---
1773,國立東華大學,諮商與臨床心理學系,國x1.00 英x1.50 數甲x1.50,18,197.70,---,---,---,---,---,---
1774,國立東華大學,法律學系,國x1.25 英x1.00 公x1.50,11,261.20,---,275.52,---,---,---,---
1775,國立東華大學,公共行政學系,國x2.00 英x1.50 公x2.00,16,344.20,---,---,---,---,---,---
1776,國立東華大學,體育與運動科學系,國x1.00 英x1.00 數甲x1.00 術x1.00,12,155.15,---,---,---,---,---,---
1777,國立東華大學,教育與潛能開發學系,國x2.00 英x1.00 數乙x1.50 公x2.00,19,302.85,---,331.90,---,---,---,---
2000,國立東華大學,幼兒教育學系,國x2.00 英x2.00 數乙x1.00 歷x1.00 公x2.00,18,382.10,---,---,---,---,---,---
2001,國立東華大學,特殊教育學系,國x1.25 英x1.25 數乙x1.00 歷x1.00 地x1.00,19,269.70,---,317.98,---,---,---,---
2002,國立東華大學,教育行政與管理學系,國x2.00 英x2.00 數乙x1.50 歷x1.00 公x1.00,15,376.30,---,---,---,---,---,---
2003,國立東華大學,族群關係與文化學系,國x1.50 歷x1.50 公x2.00,9,309.40,---,310.04,---,---,---,---
2004,國立東華大學,民族語言與傳播學系,國x2.00 英x1.00 公x1.00,7,206.20,---,212.47,---,---,---,---
2005,國立東華大學,民族事務與發展學系,國x1.00 歷x2.00 公x2.00,8,307.00,---,---,---,---,---,---
2006,國立東華大學,民族社會工作學士學位學程,國x1.00 歷x2.00 公x2.00,9,299.00,---,326.61,---,---,---,---
2007,國立東華大學,原住民族樂舞與藝術學士學位學程,國x2.00 歷x1.00 公x2.00,3,302.80,---,---,---,---,---,---
2010,國立東華大學,藝術創意產業學系,國x2.00 英x2.00 歷x1.00 地x1.00,18,301.60,---,---,---,---,---,---
2011,國立東華大學,藝術與設計學系,國x2.00 英x1.00 術x2.00,17,257.40,---,---,---,---,---,---
2012,國立東華大學,音樂學系,國x1.00 英x1.00 術x2.00,2,220.18,---,---,---,---,---,---
2013,國立東華大學,大一不分系學士班,國x1.50 英x2.00 數乙x1.75,9,322.90,---,---,---,---,---,---
2014,臺北市立大學,教育學系,國x2.00 英x2.00 數乙x2.00 歷x1.00 地x1.00,13,529.50,---,---,---,---,---,---
2015,臺北市立大學,特殊教育學系,國x2.00 英x1.50 數乙x1.50,24,306.30,---,---,---,---,---,---
2016,臺北市立大學,幼兒教育學系,國x2.00 英x2.00 數乙x1.50 歷x1.00 地x1.00,25,471.60,---,---,---,---,---,---
2017,臺北市立大學,心理與諮商學系,國x1.50 英x2.00 數乙x1.50 歷x1.00 地x1.00,16,493.30,---,---,---,---,---,---
2020,臺北市立大學,學習與媒材設計學系,國x2.00 英x2.00 數乙x1.50 歷x1.00 地x1.00,14,488.50,---,---,---,---,---,---
2021,臺北市立大學,中國語文學系,國x2.00 英x1.00 歷x1.00 地x1.00,21,347.60,---,358.50,---,---,---,---
2022,臺北市立大學,歷史與地理學系,國x1.50 英x1.00 數乙x1.00 歷x1.50 地x1.50,11,464.70,---,---,---,---,---,---
2023,臺北市立大學,英語教學系,國x1.25 英x2.00 數乙x1.00 歷x1.00 地x1.00,15,412.70,---,---,---,---,---,---
2024,臺北市立大學,社會暨公共事務學系,國x1.50 英x1.50 數乙x1.00 歷x1.00 公x2.00,14,481.83,---,---,---,---,---,---
2025,臺北市立大學,音樂學系,國x1.00 英x1.00 術x2.00,5,306.16,---,---,---,---,---,---
2026,臺北市立大學,視覺藝術學系,國x2.00 英x1.00 數乙x1.00 術x2.00,28,277.45,---,---,---,---,---,---
"系組代碼",校名,系組名,採計及加權,"錄取人數(含外加)","普通生錄取分數","普通生同分參酌","原住民錄取分數","退伍軍人錄取分數","僑生錄取分數","蒙藏生錄取分數","派外子女錄取分數"
2030,臺北市立大學,應用物理暨化學系應用化學組,國x1.00 英x1.25 數甲x1.00 物x1.50 化x1.50,8,335.73,---,---,---,---,---,---
2031,臺北市立大學,地球環境暨生物資源學系,國x1.50 英x1.50 數甲x1.00 物x1.00 化x1.50,9,342.05,---,---,---,---,---,---
2032,臺北市立大學,數學系,國x1.25 英x1.00 數甲x2.00 物x1.00,26,250.35,---,---,---,---,---,---
2033,臺北市立大學,資訊科學系,國x1.25 英x2.00 數甲x2.00 物x1.00,21,346.20,---,---,---,---,---,---
2034,臺北市立大學,體育學系,國x1.00 英x2.00 術x1.50,2,241.32,---,---,---,---,---,---
2035,臺北市立大學,休閒運動管理學系,國x1.00 英x2.00 生x1.00,17,180.50,---,---,---,---,---,---
2036,臺北市立大學,運動健康科學系,國x1.00 英x1.50 生x1.00,2,224.35,---,---,---,---,---,---
2037,臺北市立大學,城市發展學系,國x1.00 英x2.00 地x2.00,10,355.50,---,---,---,---,---,---
2040,臺北市立大學,都會產業經營與行銷學系,國x1.00 英x2.00 數乙x2.00,12,357.90,---,---,---,---,---,---
2041,臺北市立大學,衛生福利學系,國x1.50 英x2.00 數甲x1.00 生x2.00,18,342.70,英文62.25,---,---,---,---,---
2042,國立屏東大學,教育學系,國x2.00 英x2.00 數乙x1.50,34,246.10,---,---,---,---,---,---
2043,國立屏東大學,幼兒教育學系,國x2.00 英x2.00 數乙x1.00 歷x1.00 地x1.00,33,334.30,---,---,---,---,---,---
2044,國立屏東大學,特殊教育學系,國x1.50 英x1.25 數乙x1.25,19,181.33,---,---,---,---,---,---
2045,國立屏東大學,教育心理與輔導學系,國x1.50 英x1.50 數乙x1.25 公x1.00,16,281.15,---,---,---,---,---,---
2046,國立屏東大學,中國語文學系,國x2.00 英x1.25 歷x1.00,12,230.25,---,---,---,---,---,---
2047,國立屏東大學,英語學系,國x1.00 英x2.00 歷x1.00,11,212.80,---,---,---,---,---,---
2050,國立屏東大學,文化創意產業學系,國x2.00 英x1.00 歷x1.00,19,217.35,---,---,---,---,---,---
2051,國立屏東大學,社會發展學系,國x1.00 英x1.00 歷x1.00 地x1.00 公x1.00,8,299.00,---,---,---,---,---,---
2052,國立屏東大學,應用英語學系,國x2.00 英x2.00 公x1.00,1,371.40,---,---,---,---,---,---
2053,國立屏東大學,應用日語學系,國x2.00 英x2.00 公x1.00,3,337.00,---,---,---,---,---,---
2054,國立屏東大學,視覺藝術學系數位媒體設計組,國x2.00 英x1.50 數乙x1.50,5,270.33,---,---,---,---,---,---
2055,國立屏東大學,商業自動化與管理學系,國x1.00 英x2.00 數乙x2.00,2,305.20,---,---,---,---,---,---
2056,國立屏東大學,行銷與流通管理學系,國x1.00 英x2.00 數乙x2.00,3,306.90,---,---,---,---,---,---
2057,國立屏東大學,休閒事業經營學系,國x1.50 英x1.50 數乙x1.00,2,212.88,---,---,---,---,---,---
2060,國立屏東大學,不動產經營學系,國x1.50 英x1.25 數乙x1.25,4,245.45,---,---,---,---,---,---
2061,國立屏東大學,企業管理學系,國x1.00 英x1.50 數乙x1.25,5,219.50,---,---,---,---,---,---
2062,國立屏東大學,國際貿易學系,國x1.00 英x2.00 數乙x2.00,2,344.20,---,---,---,---,---,---
2063,國立屏東大學,財務金融學系,國x1.00 英x2.00 數乙x2.00 公x1.00,3,403.20,---,---,---,---,---,---
2064,國立屏東大學,會計學系,國x2.00 英x2.00 數乙x1.50,5,384.90,---,---,---,---,---,---
2065,國立屏東大學,應用化學系,英x1.50 數甲x1.50 化x2.00,20,168.75,---,---,---,---,---,---
2066,國立屏東大學,應用數學系,國x1.00 英x1.00 數甲x2.00,11,150.10,---,---,---,---,---,---
2067,國立屏東大學,應用物理系物理組,國x1.00 英x1.00 數甲x2.00 物x2.00,12,199.20,---,---,---,---,---,---
"系組代碼",校名,系組名,採計及加權,"錄取人數(含外加)","普通生錄取分數","普通生同分參酌","原住民錄取分數","退伍軍人錄取分數","僑生錄取分數","蒙藏生錄取分數","派外子女錄取分數"
2071,國立屏東大學,科學傳播學系,國x1.50 英x1.00 生x1.25,7,179.53,---,---,---,---,---,---
2072,國立屏東大學,智慧機器人學系,英x1.00 數甲x2.00 物x2.00,12,184.45,---,---,---,---,---,---
2073,國立屏東大學,電腦與通訊學系,國x1.00 英x2.00 數甲x2.00,2,245.40,---,---,---,---,---,---
2074,國立屏東大學,資訊工程學系,國x1.00 英x2.00 數甲x2.00,14,252.50,---,---,---,---,---,---
2075,國立屏東大學,資訊科學系,國x1.50 英x2.00 數甲x2.00,9,256.90,---,---,---,---,---,---
2076,國立屏東大學,資訊管理學系,國x1.00 英x2.00 數乙x2.00,2,322.10,---,---,---,---,---,---
2077,國立屏東大學,音樂學系,國x1.00 英x1.00 術x2.00,1,223.15,---,---,---,---,---,---
2100,國立屏東大學,視覺藝術學系造形藝術組,國x1.50 英x1.50 術x2.00,5,240.88,---,---,---,---,---,---
2101,國立屏東大學,體育學系,國x2.00 英x1.75 生x1.00 術x2.00,8,317.50,---,---,---,---,---,---
2102,國立臺東大學,教育學系,國x1.50 英x1.00 數乙x1.50,14,156.90,---,174.99,---,---,---,---
2103,國立臺東大學,文化資源與休閒產業學系,國x1.50 英x1.00 歷x2.00,9,251.95,---,---,---,---,---,---
2104,國立臺東大學,幼兒教育學系,國x2.00 英x2.00 數乙x1.75,12,237.80,---,245.19,---,---,---,---
2105,國立臺東大學,特殊教育學系,國x2.00 英x1.50 數乙x1.50,10,183.85,---,---,---,---,---,---
2106,國立臺東大學,體育學系,國x2.00 英x1.50 數乙x1.00,8,119.65,---,---,---,---,---,---
2107,國立臺東大學,數位媒體與文教產業學系,國x2.00 英x1.00 歷x1.00,10,209.80,---,---,---,---,---,---
2110,國立臺東大學,英美語文學系,國x1.50 英x2.00 歷x1.00,19,195.30,---,---,---,---,---,---
2111,國立臺東大學,華語文學系,國x2.00 英x1.50 歷x1.00,14,215.48,---,222.22,---,---,---,---
2112,國立臺東大學,身心整合與運動休閒產業學系,國x1.50 英x1.50 數乙x1.00,8,154.78,---,---,---,---,---,---
2113,國立臺東大學,公共與文化事務學系,國x1.50 歷x1.00 地x1.00 公x2.00,8,347.30,---,---,---,---,---,---
2114,國立臺東大學,美術產業學系,國x2.00 英x1.75 術x2.00,15,253.99,---,---,---,---,---,---
2115,國立臺東大學,音樂學系,國x1.50 英x1.50 術x2.00,1,226.85,---,---,---,---,---,---
2116,國立臺東大學,應用數學系,國x2.00 英x1.50 數甲x2.00,18,177.55,---,197.98,---,---,---,---
2117,國立臺東大學,應用科學系化學及奈米科學組,國x1.00 英x1.00 數甲x1.25 物x1.25 化x2.00,10,191.10,---,---,---,---,---,---
2120,國立臺東大學,應用科學系應用物理組,國x1.00 英x1.00 數甲x1.50 物x2.00 化x1.50,8,194.50,---,---,---,---,---,---
2121,國立臺東大學,資訊管理學系,國x1.50 英x2.00 數乙x2.00,13,268.30,---,---,---,---,---,---
2122,國立臺東大學,資訊工程學系,國x1.50 英x2.00 數甲x2.00,16,239.60,---,---,---,---,---,---
2123,國立臺東大學,生命科學系,國x1.00 英x1.00 化x1.50 生x2.00,8,214.55,---,---,---,---,---,---
2124,國立臺東大學,綠色與資訊科技學士學位學程,國x1.00 英x1.00 數乙x2.00,5,197.80,---,---,---,---,---,---
2125,國立體育大學,體育推廣學系A,國x2.00 英x2.00 數乙x1.50 公x1.00,13,286.60,---,---,---,---,---,---
2126,國立體育大學,體育推廣學系B,國x2.00 英x1.00 數乙x1.00 術x2.00,12,307.25,---,---,---,---,---,---
2127,國立體育大學,運動保健學系A,國x2.00 英x2.00 數甲x1.00 生x1.75 術x1.00,10,329.64,---,---,---,---,---,---
2130,國立體育大學,運動保健學系B,國x2.00 英x2.00 數甲x1.00 生x1.75,10,314.15,---,---,---,---,---,---
"系組代碼",校名,系組名,採計及加權,"錄取人數(含外加)","普通生錄取分數","普通生同分參酌","原住民錄取分數","退伍軍人錄取分數","僑生錄取分數","蒙藏生錄取分數","派外子女錄取分數"
2132,國立體育大學,適應體育學系A,國x2.00 英x2.00 生x1.75,10,227.10,英文17.00,---,---,---,---,---
2133,國立體育大學,適應體育學系B,國x2.00 英x2.00 數乙x1.75,10,244.10,---,---,---,---,---,---
2134,元智大學,管理學院學士班(主修:企業管理),國x1.00 英x1.00 數乙x1.00,31,120.75,---,---,---,---,---,---
2135,元智大學,管理學院學士班(主修:財務金融),國x1.00 英x1.00 數乙x1.00,38,129.05,---,137.77,---,---,---,---
2136,元智大學,管理學院學士班(主修:國際企業),國x1.00 英x1.00 數乙x1.00,35,118.85,---,159.71,---,---,---,---
2137,元智大學,管理學院學士班(主修:會計),國x1.00 英x1.00 數乙x1.00,19,133.50,---,---,---,---,---,---
2140,元智大學,管理學院學士班(英語專班),國x1.00 英x2.00 數乙x1.25,8,162.70,---,---,---,---,---,---
2141,元智大學,應用外語學系,國x1.00 英x1.50 歷x1.00,31,152.28,英文42.25,---,---,160.75,---,---
2142,元智大學,中國語文學系,國x1.50 歷x1.00 地x1.00,13,194.60,---,---,---,---,---,---
2143,元智大學,社會暨政策科學學系,英x1.00 數乙x1.00 公x1.00,9,128.50,---,---,---,---,---,---
2144,元智大學,藝術與設計學系,國x1.00 英x1.00 數乙x1.00 歷x1.00 地x1.00,11,238.70,---,---,---,---,---,---
2145,元智大學,人文社會學院英語學士班,國x1.00 英x1.50 公x1.00,6,135.60,---,---,---,---,---,---
2146,元智大學,資訊工程學系(資訊工程組),國x1.00 英x1.00 數甲x1.00 物x1.00,32,202.85,數學甲40.00,---,---,---,---,---
2147,元智大學,資訊工程學系(資訊應用組),國x1.00 英x1.00 數乙x1.00,21,190.75,---,212.15,---,---,---,---
2150,元智大學,資訊管理學系(社會組),國x1.75 英x2.00 數乙x2.00,24,317.40,---,332.57,---,---,---,---
2151,元智大學,資訊管理學系(自然組),國x1.75 英x2.00 數甲x2.00,11,277.30,---,---,---,---,---,---
2152,元智大學,資訊傳播學系科技組,國x1.00 英x1.00 數乙x1.00,19,128.40,---,---,---,---,---,---
2153,元智大學,資訊傳播學系設計組,國x1.00 英x1.00 數乙x1.00,13,124.45,---,---,---,---,---,---
2154,元智大學,資訊學院英語學士班,國x1.00 英x1.00 數乙x1.00,21,130.95,---,---,---,---,---,---
2155,元智大學,機械工程學系,國x1.00 數甲x2.00 物x1.50,39,134.90,---,140.04,---,---,---,---
2156,元智大學,化學工程與材料科學學系,數甲x1.75 物x2.00 化x2.00,57,137.60,---,---,---,---,---,---
2157,元智大學,工業工程與管理學系(A組),國x1.00 英x1.00 數甲x1.25,16,107.40,---,---,---,---,---,---
2160,元智大學,工業工程與管理學系(B組),國x1.25 英x1.00 數乙x1.00,17,142.60,---,---,---,---,---,---
2161,元智大學,工程學院英語學士班,英x1.50 數甲x1.00 物x1.00 化x1.00,10,108.80,---,---,---,---,---,---
2162,元智大學,電機工程學系(甲組),英x1.00 數甲x1.00 物x1.00,48,133.35,---,---,---,---,---,---
2163,元智大學,電機工程學系(乙組),國x1.00 英x1.00 數甲x1.00 物x1.00,26,184.10,---,196.85,---,---,---,---
2164,元智大學,電機工程學系(丙組),英x1.00 數甲x1.50 物x1.50 化x1.00,18,197.05,---,---,---,---,---,---
2165,元智大學,電機通訊學院英語學士班,英x1.25 數甲x1.00 物x1.00,21,95.10,---,---,---,---,---,---
2166,國立中正大學,中國文學系,國x2.00 英x1.25 數乙x1.00 歷x1.00 地x1.00,22,446.39,---,---,---,---,---,---
2167,國立中正大學,外國語文學系,國x1.00 英x2.00 數乙x1.00 歷x1.00 地x1.00,24,444.30,---,---,---,---,---,---
2170,國立中正大學,歷史學系,國x1.50 英x1.50 歷x2.00 地x1.00,22,456.88,---,---,---,---,---,---
2171,國立中正大學,哲學系,國x1.50 英x2.00 數乙x2.00 歷x1.00 公x1.00,16,515.90,---,---,---,---,---,---
"系組代碼",校名,系組名,採計及加權,"錄取人數(含外加)","普通生錄取分數","普通生同分參酌","原住民錄取分數","退伍軍人錄取分數","僑生錄取分數","蒙藏生錄取分數","派外子女錄取分數"
2173,國立中正大學,勞工關係學系,國x1.50 英x2.00 數乙x1.00 歷x1.00 公x1.50,19,494.00,---,---,---,---,---,---
2174,國立中正大學,政治學系,國x1.00 英x2.00 數乙x1.00 歷x1.00 公x1.50,14,477.90,---,---,---,---,---,---
2175,國立中正大學,傳播學系,國x1.50 英x1.50 數乙x1.00 歷x1.00 公x1.00,19,429.50,---,---,---,---,---,---
2176,國立中正大學,經濟學系,國x1.00 英x2.00 數乙x2.00,33,379.80,---,---,---,---,---,---
2177,國立中正大學,財務金融學系,國x1.00 英x2.00 數乙x2.00,41,385.40,英文82.50,---,---,---,---,---
2200,國立中正大學,企業管理學系,國x1.50 英x2.00 數乙x2.00,39,411.70,---,---,---,---,---,---
2201,國立中正大學,會計與資訊科技學系,國x1.50 英x2.00 數乙x2.00,22,416.30,---,---,---,---,---,---
2202,國立中正大學,法律學系法學組,國x1.50 英x1.50 數乙x1.00 歷x1.00 公x1.00,22,448.55,---,468.44,---,---,---,---
2203,國立中正大學,法律學系法制組,國x1.50 英x1.50 數乙x1.00 歷x1.00 公x1.00,23,447.38,---,---,---,---,---,---
2204,國立中正大學,財經法律學系,國x1.50 英x1.50 數乙x1.00 歷x1.00 公x1.00,21,457.03,---,---,---,---,---,---
2205,國立中正大學,成人及繼續教育學系,國x1.00 英x1.50 數乙x1.00 公x1.50,9,343.65,---,---,---,---,---,---
2206,國立中正大學,犯罪防治學系,國x1.25 英x1.50 數乙x1.00 公x1.50,21,380.65,---,402.41,---,---,---,---
2207,國立中正大學,數學系,英x1.25 數甲x2.00 物x1.00,19,232.74,---,---,---,---,---,---
2210,國立中正大學,物理學系,國x1.00 英x1.00 數甲x1.50 物x1.50 化x1.00,18,337.83,---,---,---,---,---,---
2211,國立中正大學,化學暨生物化學系,國x1.00 英x1.25 數甲x1.25 物x1.00 化x2.00,25,385.48,---,---,---,---,---,---
2212,國立中正大學,地球與環境科學系,國x1.00 英x1.00 數甲x1.50 物x1.50 化x1.50,20,345.20,---,---,---,---,---,---
2213,國立中正大學,資訊工程學系,國x1.00 英x1.50 數甲x1.25 物x1.00 化x1.00,38,377.98,---,---,---,---,---,---
2214,國立中正大學,電機工程學系甲組,國x1.00 英x1.00 數甲x1.00 物x1.00 化x1.00,3,345.40,---,---,---,---,---,---
2215,國立中正大學,電機工程學系乙組,英x1.00 數甲x2.00 物x2.00 化x1.00,21,383.50,---,---,---,---,---,---
2216,國立中正大學,機械工程學系,國x1.00 英x1.50 數甲x2.00 物x2.00 化x1.00,84,408.70,---,---,---,---,---,---
2217,國立中正大學,化學工程學系,國x1.00 英x1.25 數甲x1.25 物x1.00 化x1.25,31,343.91,---,346.46,---,---,---,---
2220,國立中正大學,通訊工程學系,國x1.00 英x1.00 數甲x1.00 物x1.50 化x1.00,14,343.00,---,---,---,---,---,---
2221,國立中正大學,資訊管理學系,國x1.00 英x2.00 數甲x2.00 物x1.00 化x1.00,28,423.00,---,---,---,---,---,---
2222,國立中正大學,心理學系,國x1.00 英x1.50 數甲x1.50 生x1.25,26,342.73,---,---,---,---,---,---
2223,國立中正大學,生物醫學科學系,國x1.00 英x1.25 數甲x1.00 化x1.50 生x1.50,24,373.58,---,---,---,---,---,---
2224,國立中正大學,運動競技學系,國x2.00 英x2.00 數甲x1.00 生x1.50,4,348.30,---,---,---,---,---,---
2225,大葉大學,機械與自動化工程學系,國x2.00 英x2.00 數甲x1.75,13,137.50,---,---,---,---,---,---
2226,大葉大學,電機工程學系,國x2.00 英x2.00 數甲x1.75,27,100.70,---,---,---,---,---,---
2227,大葉大學,消防安全學士學位學程,國x2.00 英x2.00 數甲x1.75,1,169.70,---,---,---,---,---,---
2230,大葉大學,資訊工程學系,國x2.00 英x2.00 數甲x1.75,19,130.20,---,---,---,---,---,---
2231,大葉大學,環境工程學系,國x2.00 英x2.00 數甲x1.75,6,124.10,---,---,---,---,---,---
2232,大葉大學,企業管理學系(經營管理組),國x2.00 英x1.75 數乙x2.00,5,101.00,---,---,---,---,---,---
"系組代碼",校名,系組名,採計及加權,"錄取人數(含外加)","普通生錄取分數","普通生同分參酌","原住民錄取分數","退伍軍人錄取分數","僑生錄取分數","蒙藏生錄取分數","派外子女錄取分數"
2234,大葉大學,資訊管理學系,國x2.00 英x2.00 數乙x1.75,10,150.80,---,---,---,---,---,---
2235,大葉大學,會計資訊學系,國x2.00 歷x2.00 地x1.00,3,170.40,---,---,---,---,---,---
2236,大葉大學,國際企業管理學系,國x2.00 英x1.00 歷x2.00 地x2.00,1,247.90,---,---,---,---,---,---
2237,大葉大學,財務金融學系(銀行專業組),國x2.00 英x1.00 歷x2.00 地x2.00,5,213.30,---,---,---,---,---,---
2240,大葉大學,財務金融學系(投資管理組),國x2.00 英x1.00 數乙x1.00,6,82.20,---,---,---,---,---,---
2241,大葉大學,工業設計學系,國x2.00 英x1.00 歷x2.00 地x2.00,4,263.30,---,---,---,---,---,---
2242,大葉大學,視覺傳達設計學系(視覺設計組),國x2.00 英x1.00 歷x2.00 地x2.00,6,230.60,---,---,---,---,---,---
2243,大葉大學,視覺傳達設計學系(動態媒體組),國x2.00 歷x2.00 地x1.75,0,---,---,---,---,---,---,---
2244,大葉大學,傳播藝術學士學位學程,國x2.00 英x1.00 歷x2.00 地x2.00,0,---,---,---,---,---,---,---
2245,大葉大學,"多媒體數位內容學士學位學程(動畫與影視特效組)",國x2.00 英x1.75 歷x2.00,0,---,---,---,---,---,---,---
2246,大葉大學,"多媒體數位內容學士學位學程(遊戲與互動設計組)",國x2.00 英x1.75 地x2.00,2,179.55,---,---,---,---,---,---
2247,大葉大學,"多媒體數位內容學士學位學程(動漫美術與模型製作組)",國x2.00 英x1.00 歷x2.00 地x2.00,1,265.00,---,---,---,---,---,---
2250,大葉大學,空間設計學系(建築組),國x2.00 數乙x1.00 歷x2.00 地x2.00,6,201.80,---,---,---,---,---,---
2251,大葉大學,空間設計學系(室內設計組),國x2.00 英x1.00 歷x2.00 地x2.00,6,202.80,---,---,---,---,---,---
2252,大葉大學,造形藝術學系,國x2.00 英x1.00 歷x2.00,8,149.45,---,---,---,---,---,---
2253,大葉大學,英語學系,國x2.00 英x2.00 歷x1.75,3,164.80,---,---,---,---,---,---
2254,大葉大學,應用日語學系,國x2.00 英x1.00 歷x2.00,10,176.80,---,---,---,---,---,---
2255,大葉大學,食品暨應用生物科技學系(食品科學組),國x2.00 英x2.00 數甲x1.75,1,131.20,---,---,---,---,---,---
2256,大葉大學,食品暨應用生物科技學系(健康生技組),國x2.00 英x2.00 數乙x1.75,2,104.30,---,---,---,---,---,---
2257,大葉大學,生物醫學系(檢驗醫學組),國x2.00 英x2.00 數乙x1.75,6,162.10,---,---,---,---,---,---
2260,大葉大學,生物醫學系(生物醫藥組),國x2.00 英x2.00 數甲x1.75,7,129.20,---,---,---,---,---,---
2261,大葉大學,藥用植物與保健學系(中藥保健組),國x2.00 英x2.00 數甲x1.75,7,115.20,---,---,---,---,---,---
2262,大葉大學,藥用植物與保健學系(藥粧經絡組),國x2.00 英x2.00 數乙x1.75,4,179.00,---,---,---,---,---,---
2263,大葉大學,觀光旅遊學系,國x2.00 英x1.75 地x2.00,3,169.25,---,---,---,---,---,---
2264,大葉大學,餐旅管理學系,國x2.00 英x1.75 地x2.00,2,153.90,---,---,---,---,---,---
